date,health_board,presentations
2019-01-01,NHS Ayrshire and Arran,52
2019-01-01,NHS Borders,24
2019-01-01,NHS Dumfries and Galloway,30
2019-01-01,NHS Fife,67
2019-01-01,NHS Forth Valley,40
2019-01-01,NHS Grampian,63
2019-01-01,NHS Greater Glasgow and Clyde,121
2019-01-01,NHS Highland,37
2019-01-01,NHS Lanarkshire,96
2019-01-01,NHS Lothian,95
2019-01-01,NHS Orkney,12
2019-01-01,NHS Shetland,9
2019-01-01,NHS Tayside,77
2019-01-01,NHS Western Isles,5
2019-01-02,NHS Ayrshire and Arran,34
2019-01-02,NHS Borders,15
2019-01-02,NHS Dumfries and Galloway,32
2019-01-02,NHS Fife,50
2019-01-02,NHS Forth Valley,49
2019-01-02,NHS Grampian,72
2019-01-02,NHS Greater Glasgow and Clyde,129
2019-01-02,NHS Highland,32
2019-01-02,NHS Lanarkshire,79
2019-01-02,NHS Lothian,91
2019-01-02,NHS Orkney,5
2019-01-02,NHS Shetland,10
2019-01-02,NHS Tayside,60
2019-01-02,NHS Western Isles,7
2019-01-03,NHS Ayrshire and Arran,55
2019-01-03,NHS Borders,14
2019-01-03,NHS Dumfries and Galloway,32
2019-01-03,NHS Fife,45
2019-01-03,NHS Forth Valley,30
2019-01-03,NHS Grampian,74
2019-01-03,NHS Greater Glasgow and Clyde,137
2019-01-03,NHS Highland,49
2019-01-03,NHS Lanarkshire,74
2019-01-03,NHS Lothian,123
2019-01-03,NHS Orkney,8
2019-01-03,NHS Shetland,8
2019-01-03,NHS Tayside,53
2019-01-03,NHS Western Isles,5
2019-01-04,NHS Ayrshire and Arran,57
2019-01-04,NHS Borders,24
2019-01-04,NHS Dumfries and Galloway,30
2019-01-04,NHS Fife,45
2019-01-04,NHS Forth Valley,49
2019-01-04,NHS Grampian,78
2019-01-04,NHS Greater Glasgow and Clyde,142
2019-01-04,NHS Highland,40
2019-01-04,NHS Lanarkshire,86
2019-01-04,NHS Lothian,124
2019-01-04,NHS Orkney,5
2019-01-04,NHS Shetland,12
2019-01-04,NHS Tayside,63
2019-01-04,NHS Western Isles,6
2019-01-05,NHS Ayrshire and Arran,43
2019-01-05,NHS Borders,10
2019-01-05,NHS Dumfries and Galloway,22
2019-01-05,NHS Fife,37
2019-01-05,NHS Forth Valley,35
2019-01-05,NHS Grampian,57
2019-01-05,NHS Greater Glasgow and Clyde,98
2019-01-05,NHS Highland,36
2019-01-05,NHS Lanarkshire,59
2019-01-05,NHS Lothian,87
2019-01-05,NHS Orkney,9
2019-01-05,NHS Shetland,6
2019-01-05,NHS Tayside,55
2019-01-05,NHS Western Isles,4
2019-01-06,NHS Ayrshire and Arran,49
2019-01-06,NHS Borders,11
2019-01-06,NHS Dumfries and Galloway,26
2019-01-06,NHS Fife,37
