month,health_board,age_group,simd_quintile,presentations
2019-01,NHS Ayrshire and Arran,0-17,1,53
2019-01,NHS Ayrshire and Arran,0-17,2,24
2019-01,NHS Ayrshire and Arran,0-17,3,24
2019-01,NHS Ayrshire and Arran,0-17,4,16
2019-01,NHS Ayrshire and Arran,0-17,5,10
2019-01,NHS Ayrshire and Arran,18-25,1,133
2019-01,NHS Ayrshire and Arran,18-25,2,83
2019-01,NHS Ayrshire and Arran,18-25,3,76
2019-01,NHS Ayrshire and Arran,18-25,4,43
2019-01,NHS Ayrshire and Arran,18-25,5,40
2019-01,NHS Ayrshire and Arran,26-35,1,113
2019-01,NHS Ayrshire and Arran,26-35,2,94
2019-01,NHS Ayrshire and Arran,26-35,3,69
2019-01,NHS Ayrshire and Arran,26-35,4,38
2019-01,NHS Ayrshire and Arran,26-35,5,29
2019-01,NHS Ayrshire and Arran,36-45,1,75
2019-01,NHS Ayrshire and Arran,36-45,2,52
2019-01,NHS Ayrshire and Arran,36-45,3,53
2019-01,NHS Ayrshire and Arran,36-45,4,21
2019-01,NHS Ayrshire and Arran,36-45,5,20
2019-01,NHS Ayrshire and Arran,46-55,1,77
2019-01,NHS Ayrshire and Arran,46-55,2,63
2019-01,NHS Ayrshire and Arran,46-55,3,47
2019-01,NHS Ayrshire and Arran,46-55,4,25
2019-01,NHS Ayrshire and Arran,46-55,5,31
2019-01,NHS Ayrshire and Arran,56-65,1,49
2019-01,NHS Ayrshire and Arran,56-65,2,43
2019-01,NHS Ayrshire and Arran,56-65,3,29
2019-01,NHS Ayrshire and Arran,56-65,4,22
2019-01,NHS Ayrshire and Arran,56-65,5,15
2019-01,NHS Ayrshire and Arran,66-75,1,27
2019-01,NHS Ayrshire and Arran,66-75,2,15
2019-01,NHS Ayrshire and Arran,66-75,3,23
2019-01,NHS Ayrshire and Arran,66-75,4,14
2019-01,NHS Ayrshire and Arran,66-75,5,4
2019-01,NHS Ayrshire and Arran,76+,1,8
2019-01,NHS Ayrshire and Arran,76+,2,8
2019-01,NHS Ayrshire and Arran,76+,3,8
2019-01,NHS Ayrshire and Arran,76+,4,5
2019-01,NHS Ayrshire and Arran,76+,5,3
2019-01,NHS Borders,0-17,1,15
2019-01,NHS Borders,0-17,2,10
2019-01,NHS Borders,0-17,3,9
2019-01,NHS Borders,0-17,4,2
2019-01,NHS Borders,0-17,5,4
2019-01,NHS Borders,18-25,1,53
2019-01,NHS Borders,18-25,2,43
2019-01,NHS Borders,18-25,3,32
2019-01,NHS Borders,18-25,4,17
2019-01,NHS Borders,18-25,5,17
2019-01,NHS Borders,26-35,1,44
2019-01,NHS Borders,26-35,2,24
2019-01,NHS Borders,26-35,3,24
2019-01,NHS Borders,26-35,4,12
2019-01,NHS Borders,26-35,5,16
2019-01,NHS Borders,36-45,1,35
2019-01,NHS Borders,36-45,2,24
2019-01,NHS Borders,36-45,3,18
2019-01,NHS Borders,36-45,4,11
2019-01,NHS Borders,36-45,5,5
2019-01,NHS Borders,46-55,1,30
2019-01,NHS Borders,46-55,2,31
2019-01,NHS Borders,46-55,3,23
2019-01,NHS Borders,46-55,4,13
2019-01,NHS Borders,46-55,5,8
2019-01,NHS Borders,56-65,1,15
2019-01,NHS Borders,56-65,2,13
2019-01,NHS Borders,56-65,3,8
2019-01,NHS Borders,56-65,4,10
2019-01,NHS Borders,56-65,5,8
2019-01,NHS Borders,66-75,1,9
2019-01,NHS Borders,66-75,2,4
2019-01,NHS Borders,66-75,3,7
2019-01,NHS Borders,66-75,4,6
2019-01,NHS Borders,66-75,5,2
2019-01,NHS Borders,76+,1,3
2019-01,NHS Borders,76+,2,5
2019-01,NHS Borders,76+,3,2
2019-01,NHS Borders,76+,4,1
2019-01,NHS Borders,76+,5,2
2019-01,NHS Dumfries and Galloway,0-17,1,26
2019-01,NHS Dumfries and Galloway,0-17,2,22
2019-01,NHS Dumfries and Galloway,0-17,3,15
2019-01,NHS Dumfries and Galloway,0-17,4,4
2019-01,NHS Dumfries and Galloway,0-17,5,9
2019-01,NHS Dumfries and Galloway,18-25,1,82
2019-01,NHS Dumfries and Galloway,18-25,2,59
2019-01,NHS Dumfries and Galloway,18-25,3,52
2019-01,NHS Dumfries and Galloway,18-25,4,37
2019-01,NHS Dumfries and Galloway,18-25,5,23
2019-01,NHS Dumfries and Galloway,26-35,1,72
2019-01,NHS Dumfries and Galloway,26-35,2,35
2019-01,NHS Dumfries and Galloway,26-35,3,35
2019-01,NHS Dumfries and Galloway,26-35,4,22
2019-01,NHS Dumfries and Galloway,26-35,5,17
2019-01,NHS Dumfries and Galloway,36-45,1,51
2019-01,NHS Dumfries and Galloway,36-45,2,40
2019-01,NHS Dumfries and Galloway,36-45,3,28
2019-01,NHS Dumfries and Galloway,36-45,4,18
2019-01,NHS Dumfries and Galloway,36-45,5,7
2019-01,NHS Dumfries and Galloway,46-55,1,39
2019-01,NHS Dumfries and Galloway,46-55,2,31
2019-01,NHS Dumfries and Galloway,46-55,3,28
2019-01,NHS Dumfries and Galloway,46-55,4,11
2019-01,NHS Dumfries and Galloway,46-55,5,18
2019-01,NHS Dumfries and Galloway,56-65,1,24
2019-01,NHS Dumfries and Galloway,56-65,2,22
2019-01,NHS Dumfries and Galloway,56-65,3,20
2019-01,NHS Dumfries and Galloway,56-65,4,5
2019-01,NHS Dumfries and Galloway,56-65,5,10
2019-01,NHS Dumfries and Galloway,66-75,1,17
2019-01,NHS Dumfries and Galloway,66-75,2,8
2019-01,NHS Dumfries and Galloway,66-75,3,11
2019-01,NHS Dumfries and Galloway,66-75,4,7
2019-01,NHS Dumfries and Galloway,66-75,5,4
2019-01,NHS Dumfries and Galloway,76+,1,6
2019-01,NHS Dumfries and Galloway,76+,2,8
2019-01,NHS Dumfries and Galloway,76+,3,2
2019-01,NHS Dumfries and Galloway,76+,4,2
2019-01,NHS Fife,0-17,1,51
2019-01,NHS Fife,0-17,2,42
2019-01,NHS Fife,0-17,3,22
2019-01,NHS Fife,0-17,4,12
2019-01,NHS Fife,0-17,5,9
2019-01,NHS Fife,18-25,1,139
2019-01,NHS Fife,18-25,2,110
2019-01,NHS Fife,18-25,3,83
2019-01,NHS Fife,18-25,4,42
2019-01,NHS Fife,18-25,5,27
2019-01,NHS Fife,26-35,1,122
2019-01,NHS Fife,26-35,2,74
2019-01,NHS Fife,26-35,3,63
2019-01,NHS Fife,26-35,4,37
2019-01,NHS Fife,26-35,5,25
2019-01,NHS Fife,36-45,1,86
2019-01,NHS Fife,36-45,2,56
2019-01,NHS Fife,36-45,3,60
